"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"ed63d7c6",2020-05-01,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,0,1,4,0,-3,-70.83,-86.11,-72.02,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-02,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,0,1,4,0,-3,-70.83,-86.11,-72.02,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-03,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,0,1,4,0,-3,-70.83,-86.11,-72.02,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,0,1,4,0,-3,-70.83,-86.11,-72.02,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-05,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,0,1,4,0,-3,-70.83,-86.11,-72.02,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-06,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-09,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
"ed63d7c6",2020-05-10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Valença do Piauí",-6.38311005,-41.7679307259568,20929,"BRA","BR",76,"BRL","2211308","ChIJP2bAB5atmwcR2dVzVwH4o3Y",NA,"BRPI2211308",NA,"BRA.18.216_1"
