"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"93df48a0",2020-05-14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-15,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-16,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-17,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-20,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-21,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-22,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
"93df48a0",2020-05-23,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Itápolis",-21.54013157,-48.8158782408657,43331,"BRA","BR",76,"BRL","3522703","ChIJxX3EPDLMvpQRblPUrUz4S0I",NA,"BRSP3522703",NA,"BRA.25.261_1"
